WaferNo,RecipeID,Time,CarrierPressure(psi),PlatenSpeed(rpm),CarrierSpeed(rpm),SlurryFlowRate(mL/min),ConditionerPressure(psi),ConditionerSpeed(rpm),PolishTime(sec),Temperature(C),RemovalRate(A/min),Uniformity(%),Status
Wafer #26,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #27,RCP-001,09:13:30,3.5,60,60,200,3.0,40,60,32.4,1941,96.6,WARNING
Wafer #28,RCP-001,09:13:30,6.5,60,60,200,3.0,80,60,42.0,2975,91.4,DANGER
Wafer #29,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #30,RCP-001,09:13:30,3.5,60,60,200,3.0,40,60,32.4,1941,96.6,WARNING
Wafer #31,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #32,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #33,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #34,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #35,RCP-001,09:13:30,3.5,60,60,130,3.0,80,60,36.6,1696,95.8,WARNING
Wafer #36,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #37,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #38,RCP-001,09:13:30,3.5,60,60,130,3.0,80,60,36.6,1696,95.8,WARNING
Wafer #39,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #40,RCP-001,09:13:30,3.5,60,60,130,3.0,80,60,36.6,1696,95.8,WARNING
Wafer #41,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #42,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #43,RCP-001,09:13:30,3.5,60,60,130,3.0,80,60,36.6,1696,95.8,WARNING
Wafer #44,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #45,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #46,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #47,RCP-001,09:13:30,3.5,60,60,200,3.0,40,60,32.4,1941,96.6,WARNING
Wafer #48,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #49,RCP-001,09:13:30,6.5,60,60,200,3.0,80,60,42.0,2975,91.4,DANGER
Wafer #50,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #51,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #52,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #53,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #54,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #55,RCP-001,09:13:30,3.5,60,60,200,3.0,40,60,32.4,1941,96.6,WARNING
Wafer #56,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #57,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #58,RCP-001,09:13:30,6.5,60,60,200,3.0,80,60,42.0,2975,91.4,DANGER
Wafer #59,RCP-001,09:13:30,3.5,60,60,130,3.0,80,60,36.6,1696,95.8,WARNING
Wafer #60,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #61,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #62,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #63,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #64,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #65,RCP-001,09:13:30,3.5,60,60,200,3.0,40,60,32.4,1941,96.6,WARNING
Wafer #66,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #67,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #68,RCP-001,09:13:30,3.5,60,60,200,3.0,40,60,32.4,1941,96.6,WARNING
Wafer #69,RCP-001,09:13:30,3.5,60,60,130,3.0,80,60,36.6,1696,95.8,WARNING
Wafer #70,RCP-001,09:13:30,3.5,60,60,130,3.0,80,60,36.6,1696,95.8,WARNING
Wafer #71,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #72,RCP-001,09:13:30,3.5,60,60,130,3.0,80,60,36.6,1696,95.8,WARNING
Wafer #73,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #74,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #75,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #76,RCP-001,09:13:30,6.5,60,60,200,3.0,80,60,42.0,2975,91.4,DANGER
Wafer #77,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #78,RCP-001,09:13:30,3.5,60,60,130,3.0,80,60,36.6,1696,95.8,WARNING
Wafer #79,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #80,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #81,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #82,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #83,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #84,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #85,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #86,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #87,RCP-001,09:13:30,6.5,60,60,200,3.0,80,60,42.0,2975,91.4,DANGER
Wafer #88,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #89,RCP-001,09:13:30,3.5,60,60,200,3.0,40,60,32.4,1941,96.6,WARNING
Wafer #90,RCP-001,09:13:30,3.5,60,60,130,3.0,80,60,36.6,1696,95.8,WARNING
Wafer #91,RCP-001,09:13:30,6.5,60,60,200,3.0,80,60,42.0,2975,91.4,DANGER
Wafer #92,RCP-001,09:13:30,3.5,60,60,200,3.0,40,60,32.4,1941,96.6,WARNING
Wafer #93,RCP-001,09:13:30,6.5,60,60,200,3.0,80,60,42.0,2975,91.4,DANGER
Wafer #94,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #95,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #96,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #97,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #98,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #99,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #100,RCP-001,09:13:30,3.5,60,60,130,3.0,80,60,36.6,1696,95.8,WARNING
Wafer #101,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #102,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #103,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #104,RCP-001,09:13:30,3.5,60,60,130,3.0,80,60,36.6,1696,95.8,WARNING
Wafer #105,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #106,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #107,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #108,RCP-001,09:13:30,3.5,60,60,200,3.0,40,60,32.4,1941,96.6,WARNING
Wafer #109,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #110,RCP-001,09:13:30,3.5,60,60,130,3.0,80,60,36.6,1696,95.8,WARNING
Wafer #111,RCP-001,09:13:30,3.5,60,60,200,3.0,40,60,32.4,1941,96.6,WARNING
Wafer #112,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #113,RCP-001,09:13:30,6.5,60,60,200,3.0,80,60,42.0,2975,91.4,DANGER
Wafer #114,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #115,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #116,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #117,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #118,RCP-001,09:13:30,3.5,60,60,130,3.0,80,60,36.6,1696,95.8,WARNING
Wafer #119,RCP-001,09:13:30,3.5,60,60,200,3.0,40,60,32.4,1941,96.6,WARNING
Wafer #120,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #121,RCP-001,09:13:30,3.5,60,60,200,3.0,40,60,32.4,1941,96.6,WARNING
Wafer #122,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #123,RCP-001,09:13:30,3.5,60,60,200,3.0,40,60,32.4,1941,96.6,WARNING
Wafer #124,RCP-001,09:13:30,3.5,60,60,200,3.0,40,60,32.4,1941,96.6,WARNING
Wafer #125,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #126,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #127,RCP-001,09:13:30,3.5,60,60,200,3.0,40,60,32.4,1941,96.6,WARNING
Wafer #128,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #129,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #130,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #131,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #132,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #133,RCP-001,09:13:30,3.5,60,60,200,3.0,40,60,32.4,1941,96.6,WARNING
Wafer #134,RCP-001,09:13:30,3.5,60,60,130,3.0,80,60,36.6,1696,95.8,WARNING
Wafer #135,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #136,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #137,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #138,RCP-001,09:13:30,6.5,60,60,200,3.0,80,60,42.0,2975,91.4,DANGER
Wafer #139,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #140,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #141,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #142,RCP-001,09:13:30,6.5,60,60,200,3.0,80,60,42.0,2975,91.4,DANGER
Wafer #143,RCP-001,09:13:30,3.5,60,60,200,3.0,40,60,32.4,1941,96.6,WARNING
Wafer #144,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #145,RCP-001,09:13:30,3.5,60,60,130,3.0,80,60,36.6,1696,95.8,WARNING
Wafer #146,RCP-001,09:13:30,6.5,60,60,200,3.0,80,60,42.0,2975,91.4,DANGER
Wafer #147,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #148,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #149,RCP-001,09:13:30,3.5,60,60,130,3.0,80,60,36.6,1696,95.8,WARNING
Wafer #150,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #151,RCP-001,09:13:30,6.5,60,60,200,3.0,80,60,42.0,2975,91.4,DANGER
Wafer #152,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #153,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #154,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #155,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #156,RCP-001,09:13:30,6.5,60,60,200,3.0,80,60,42.0,2975,91.4,DANGER
Wafer #157,RCP-001,09:13:30,3.5,60,60,200,3.0,40,60,32.4,1941,96.6,WARNING
Wafer #158,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #159,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #160,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #161,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #162,RCP-001,09:13:30,6.5,60,60,200,3.0,80,60,42.0,2975,91.4,DANGER
Wafer #163,RCP-001,09:13:30,6.5,60,60,200,3.0,80,60,42.0,2975,91.4,DANGER
Wafer #164,RCP-001,09:13:30,6.5,60,60,200,3.0,80,60,42.0,2975,91.4,DANGER
Wafer #165,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #166,RCP-001,09:13:30,3.5,60,60,130,3.0,80,60,36.6,1696,95.8,WARNING
Wafer #167,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #168,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #169,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #170,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #171,RCP-001,09:13:30,6.5,60,60,200,3.0,80,60,42.0,2975,91.4,DANGER
Wafer #172,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #173,RCP-001,09:13:30,3.5,60,60,130,3.0,80,60,36.6,1696,95.8,WARNING
Wafer #174,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #175,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #176,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #177,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #178,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #179,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #180,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #181,RCP-001,09:13:30,3.5,60,60,200,3.0,40,60,32.4,1941,96.6,WARNING
Wafer #182,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #183,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #184,RCP-001,09:13:30,3.5,60,60,130,3.0,80,60,36.6,1696,95.8,WARNING
Wafer #185,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #186,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #187,RCP-001,09:13:30,6.5,60,60,200,3.0,80,60,42.0,2975,91.4,DANGER
Wafer #188,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #189,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #190,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #191,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #192,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #193,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #194,RCP-001,09:13:30,6.5,60,60,200,3.0,80,60,42.0,2975,91.4,DANGER
Wafer #195,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #196,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #197,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #198,RCP-001,09:13:30,3.5,60,60,200,3.0,40,60,32.4,1941,96.6,WARNING
Wafer #199,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #200,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #201,RCP-001,09:13:30,3.5,60,60,200,3.0,40,60,32.4,1941,96.6,WARNING
Wafer #202,RCP-001,09:13:30,3.5,60,60,200,3.0,40,60,32.4,1941,96.6,WARNING
Wafer #203,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #204,RCP-001,09:13:30,6.5,60,60,200,3.0,80,60,42.0,2975,91.4,DANGER
Wafer #205,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #206,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #207,RCP-001,09:13:30,3.5,60,60,130,3.0,80,60,36.6,1696,95.8,WARNING
Wafer #208,RCP-001,09:13:30,3.5,60,60,200,3.0,40,60,32.4,1941,96.6,WARNING
Wafer #209,RCP-001,09:13:30,6.5,60,60,200,3.0,80,60,42.0,2975,91.4,DANGER
Wafer #210,RCP-001,09:13:30,6.5,60,60,200,3.0,80,60,42.0,2975,91.4,DANGER
Wafer #211,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #212,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #213,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #214,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #215,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #216,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #217,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #218,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #219,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #220,RCP-001,09:13:30,3.5,60,60,200,3.0,40,60,32.4,1941,96.6,WARNING
Wafer #221,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #222,RCP-001,09:13:30,3.5,60,60,130,3.0,80,60,36.6,1696,95.8,WARNING
Wafer #223,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #224,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #225,RCP-001,09:13:30,6.5,60,60,200,3.0,80,60,42.0,2975,91.4,DANGER
Wafer #226,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #227,RCP-001,09:13:30,3.5,60,60,130,3.0,80,60,36.6,1696,95.8,WARNING
Wafer #228,RCP-001,09:13:30,3.5,60,60,200,3.0,40,60,32.4,1941,96.6,WARNING
Wafer #229,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #230,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #231,RCP-001,09:13:30,3.5,60,60,130,3.0,80,60,36.6,1696,95.8,WARNING
Wafer #232,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #233,RCP-001,09:13:30,3.5,60,60,130,3.0,80,60,36.6,1696,95.8,WARNING
Wafer #234,RCP-001,09:13:30,3.5,60,60,200,3.0,40,60,32.4,1941,96.6,WARNING
Wafer #235,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #236,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #237,RCP-001,09:13:30,6.5,60,60,200,3.0,80,60,42.0,2975,91.4,DANGER
Wafer #238,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #239,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #240,RCP-001,09:13:30,3.5,60,60,130,3.0,80,60,36.6,1696,95.8,WARNING
Wafer #241,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #242,RCP-001,09:13:30,6.5,60,60,200,3.0,80,60,42.0,2975,91.4,DANGER
Wafer #243,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #244,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #245,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #246,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #247,RCP-001,09:13:30,3.5,60,60,200,3.0,40,60,32.4,1941,96.6,WARNING
Wafer #248,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #249,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #250,RCP-001,09:13:30,3.5,60,60,130,3.0,80,60,36.6,1696,95.8,WARNING
Wafer #251,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #252,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #253,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #254,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #255,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
Wafer #256,RCP-001,09:13:30,3.5,60,60,200,3.0,80,60,32.4,2150,98.3,NORMAL
